split,threat_type,event_text
train,phishing,"Password reset lure emailed to finance: unusual sign-in, confirm your identity now [confidence=medium ts=2026-01-11T11:53Z]"
train,phishing,Fake invoice scam PDF salary-review.doc.exe plus a shortened t.co link harvesting credentials [evt=396635 user=hr]
train,phishing,Gmail lure: finance clicked verify your account on a fake login portal from 10.87.54.31 [sensor=edr evt=969226]
train,phishing,Kindly update billing payment for a held FedEx parcel or the bank account is limited
train,phishing,Countdown phishing: you have 15 hours to confirm your identity or coverage will lapse [user=labtech ts=2026-03-16T19:08Z]
train,phishing,Shared a document with you plus bit.ly credential harvest for principal on VM-STUDENT-09 [proto=TCP sensor=dns]
train,phishing,"Mailbox Guard: unusual sign-in activity, password expired, reset via login page"
train,phishing,Urgent action required: verify your account and click the login portal 10.87.54.133
train,phishing,"Dear customer, unusual sign-in activity. Your account has been limited. Click here to verify your account [ts=2026-08-11T09:12Z user=labtech]"
train,phishing,Password expired. Reset credentials via the bank account login page now [evt=186624 device=LAPTOP-HOD-CSE]
train,phishing,"Action Required: Mandatory 2026 Employee Health Benefits Election. Hello Team, re-enroll to avoid a lapse in medical coverage. Deadline Friday 5:00 PM EST [device=LAB-PC-91 evt=886325]"
train,phishing,DHL parcel held. Kindly update billing payment at http://paypa1-login.com/login [device=VM-STUDENT-09 confidence=critical]
train,phishing,Shared a document with you. Failure to verify within 7 hours will suspend the bank account
train,phishing,Credential harvest attempt via fake invoice scam and shortened bit.ly link
train,phishing,Laptop mail from security@paypa1-login.com. Subject: Urgent action required: verify your account
train,phishing,Spearphish: librarian received a fake OWA login portal for DESKTOP-988C9GL from 10.87.54.244 [evt=162823 user=faculty]
train,phishing,Mailbox lure: kindly verify payroll on http://paypa1-login.com/login or the bank account is locked [device=WS-FINANCE-12 proto=SMTP]
train,phishing,HR spoof: srinu must click here to re-enroll benefits before coverage will lapse [sensor=agent source=Laptop File Guard]
train,phishing,"Delivery phishing: UPS parcel held, update billing payment or the shipment is cancelled"
train,phishing,"Password reset lure emailed to nurse: unusual sign-in, confirm your identity now [ts=2026-05-25T00:23Z evt=447329]"
train,phishing,Fake invoice scam PDF update.msi plus a shortened t.co link harvesting credentials [proto=TCP sensor=sysmon]
train,phishing,Gmail lure: student clicked verify your account on a fake login portal from 203.0.113.77 [device=NURSE-STATION-2 source=Laptop File Guard]
train,phishing,Kindly update billing payment for a held FedEx parcel or the bank account is limited [proto=HTTPS confidence=critical]
train,phishing,Countdown phishing: you have 11 hours to confirm your identity or coverage will lapse
train,phishing,Shared a document with you plus bit.ly credential harvest for cashier on LAB-PC-14 [device=VM-PROJECT-03 evt=386090]
train,phishing,"Mailbox Guard: unusual sign-in activity, password expired, reset via login page [device=LAB-PC-27 source=Laptop Mail Guard]"
train,phishing,Urgent action required: verify your account and click the login portal 10.87.54.32
train,phishing,"Dear customer, unusual sign-in activity. Your account has been limited. Click here to verify your account [confidence=critical device=LAB-PC-76]"
train,phishing,Password expired. Reset credentials via the bank account login page now
train,phishing,"Action Required: Mandatory 2026 Employee Health Benefits Election. Hello Team, re-enroll to avoid a lapse in medical coverage. Deadline Friday 5:00 PM EST [sensor=ids ts=2026-07-27T12:52Z]"
train,phishing,DHL parcel held. Kindly update billing payment at http://paypa1-login.com/login [source=Sysmon user=akash]
train,phishing,Shared a document with you. Failure to verify within 40 hours will suspend the bank account
train,phishing,Credential harvest attempt via fake invoice scam and shortened bit.ly link
train,phishing,Laptop mail from security@paypa1-login.com. Subject: Urgent action required: verify your account [sensor=agent user=hr]
train,phishing,Spearphish: librarian received a fake OWA login portal for LAB-PC-38 from 10.87.54.124 [sensor=siem ts=2026-06-18T15:46Z]
train,phishing,Mailbox lure: kindly verify payroll on http://paypa1-login.com/login or the bank account is locked [device=LAB-PC-91 user=admin]
train,phishing,HR spoof: helpdesk must click here to re-enroll benefits before coverage will lapse [proto=RDP confidence=medium]
train,phishing,"Delivery phishing: UPS parcel held, update billing payment or the shipment is cancelled"
train,phishing,"Password reset lure emailed to student: unusual sign-in, confirm your identity now [ts=2026-01-13T13:14Z source=EDR]"
train,phishing,Fake invoice scam PDF decrypt_instructions.html plus a shortened t.co link harvesting credentials [sensor=edr ts=2026-03-22T10:23Z]
train,phishing,Gmail lure: helpdesk clicked verify your account on a fake login portal from 10.87.54.200 [source=EDR proto=TCP]
train,phishing,Kindly update billing payment for a held FedEx parcel or the bank account is limited [source=DNS confidence=high]
train,phishing,Countdown phishing: you have 43 hours to confirm your identity or coverage will lapse
train,phishing,Shared a document with you plus bit.ly credential harvest for faculty on HOSTEL-PC-18 [proto=HTTPS ts=2026-07-27T01:50Z]
train,phishing,"Mailbox Guard: unusual sign-in activity, password expired, reset via login page [evt=209627 confidence=medium]"
train,phishing,Urgent action required: verify your account and click the login portal 172.16.4.18 [confidence=high source=Network IDS]
train,phishing,"Dear customer, unusual sign-in activity. Your account has been limited. Click here to verify your account [source=DNS evt=579776]"
train,phishing,Password expired. Reset credentials via the bank account login page now [evt=725397 source=Auth]
train,phishing,"Action Required: Mandatory 2026 Employee Health Benefits Election. Hello Team, re-enroll to avoid a lapse in medical coverage. Deadline Friday 5:00 PM EST [sensor=sysmon proto=SMB]"
train,phishing,DHL parcel held. Kindly update billing payment at http://paypa1-login.com/login
test,phishing,"Hello team, confirm your identity on the login portal or coverage will lapse [ts=2026-05-19T18:17Z sensor=siem]"
test,phishing,Mailbox lure: fake login portal harvests password after kindly verify click
test,phishing,"Hello team, confirm your identity on the login portal or coverage will lapse"
test,phishing,Mailbox lure: fake login portal harvests password after kindly verify click [device=LAPTOP-HR04 evt=181724]
test,phishing,"Hello team, confirm your identity on the login portal or coverage will lapse"
test,phishing,Mailbox lure: fake login portal harvests password after kindly verify click [source=Sysmon evt=416302]
test,phishing,"Hello team, confirm your identity on the login portal or coverage will lapse [device=VM-PROJECT-03 sensor=siem]"
test,phishing,Mailbox lure: fake login portal harvests password after kindly verify click [sensor=usb ts=2026-06-22T18:40Z]
test,phishing,"Hello team, confirm your identity on the login portal or coverage will lapse [evt=919067 proto=SMB]"
test,phishing,Mailbox lure: fake login portal harvests password after kindly verify click [ts=2026-01-11T00:15Z device=PC-LAB-NET-14]
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall [ts=2026-06-12T17:29Z source=Network IDS]
train,ddos,HTTP flood denial of service against public web portal at 192.168.43.12
train,ddos,UDP flood distributed denial of service from botnet sources [sensor=usb confidence=critical]
train,ddos,Traffic flood exhausting capacity and denying availability
train,ddos,SYN/UDP/HTTP floods DDoS against VM-PROJECT-03
train,ddos,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward LAB-PC-83 [sensor=sysmon user=student]
train,ddos,HTTP flood denial of service against the public web portal at 10.87.54.207 [proto=SMTP device=LAB-PC-86]
train,ddos,UDP flood distributed denial of service from botnet sources hitting VM-PROJECT-03 [device=DESKTOP-988C9GL user=hr]
train,ddos,Traffic flood exhausting capacity and denying availability on the edge firewall
train,ddos,SYN/UDP/HTTP DDoS floods against HOSTEL-PC-18 from botnet sources [confidence=medium proto=SMTP]
train,ddos,Distributed denial of service UDP flood exhausting capacity on LAB-PC-54 [user=librarian ts=2026-07-15T13:31Z]
train,ddos,"HTTP flood DDoS against the public web portal, denying availability [sensor=siem proto=SMB]"
train,ddos,Edge firewall SYN flood DDoS from botnet sources toward 10.87.54.74
train,ddos,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity [evt=201400 source=Network IDS]
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall [source=Windows Event Log ts=2026-04-16T04:02Z]
train,ddos,HTTP flood denial of service against public web portal at 10.87.54.144 [source=EDR device=LAB-PC-85]
train,ddos,UDP flood distributed denial of service from botnet sources [user=nurse device=VM-STUDENT-09]
train,ddos,Traffic flood exhausting capacity and denying availability [sensor=mail confidence=high]
train,ddos,SYN/UDP/HTTP floods DDoS against PC-LIBRARY-03
train,ddos,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward PC-LIBRARY-03 [user=librarian source=DNS]
train,ddos,HTTP flood denial of service against the public web portal at 172.16.8.90
train,ddos,UDP flood distributed denial of service from botnet sources hitting DESKTOP-SBJAOKO
train,ddos,Traffic flood exhausting capacity and denying availability on the edge firewall [source=Endpoint device=VM-SOC-LAB-11]
train,ddos,SYN/UDP/HTTP DDoS floods against MAIL-GW-1 from botnet sources
train,ddos,Distributed denial of service UDP flood exhausting capacity on LAPTOP-FACULTY-2
train,ddos,"HTTP flood DDoS against the public web portal, denying availability [sensor=agent confidence=medium]"
train,ddos,Edge firewall SYN flood DDoS from botnet sources toward 10.87.54.177 [device=SRV-AD-01 source=Laptop File Guard]
train,ddos,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall
train,ddos,HTTP flood denial of service against public web portal at 10.87.54.180 [device=SRV-AD-01 confidence=high]
train,ddos,UDP flood distributed denial of service from botnet sources [device=LAB-PC-81 confidence=medium]
train,ddos,Traffic flood exhausting capacity and denying availability [user=cashier device=DESKTOP-988C9GL]
train,ddos,SYN/UDP/HTTP floods DDoS against LAPTOP-FACULTY-2 [ts=2026-05-27T16:23Z sensor=usb]
train,ddos,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward PC-LIBRARY-03
train,ddos,HTTP flood denial of service against the public web portal at 203.0.113.77
train,ddos,UDP flood distributed denial of service from botnet sources hitting LAB-PC-93
train,ddos,Traffic flood exhausting capacity and denying availability on the edge firewall
train,ddos,SYN/UDP/HTTP DDoS floods against PC-RECEPTION-01 from botnet sources [ts=2026-03-15T18:54Z sensor=dns]
train,ddos,Distributed denial of service UDP flood exhausting capacity on SRV-AD-01
train,ddos,"HTTP flood DDoS against the public web portal, denying availability"
train,ddos,Edge firewall SYN flood DDoS from botnet sources toward 10.87.54.26 [confidence=high user=principal]
train,ddos,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity [proto=TCP sensor=siem]
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall [sensor=proxy source=Email]
train,ddos,HTTP flood denial of service against public web portal at 10.87.54.48 [device=LAPTOP-FACULTY-2 ts=2026-06-14T21:41Z]
train,ddos,UDP flood distributed denial of service from botnet sources
train,ddos,Traffic flood exhausting capacity and denying availability [device=VM-PROJECT-03 confidence=critical]
train,ddos,SYN/UDP/HTTP floods DDoS against SRV-AD-01 [confidence=high user=akash]
train,ddos,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward VM-STUDENT-09 [ts=2026-08-25T19:00Z sensor=proxy]
train,ddos,HTTP flood denial of service against the public web portal at 172.20.10.5 [confidence=critical ts=2026-03-28T18:10Z]
train,ddos,UDP flood distributed denial of service from botnet sources hitting KIOSK-FRONT-2 [device=MAIL-GW-1 confidence=critical]
train,ddos,Traffic flood exhausting capacity and denying availability on the edge firewall [evt=488368 confidence=high]
train,ddos,SYN/UDP/HTTP DDoS floods against KIOSK-FRONT-2 from botnet sources [sensor=ids evt=821175]
train,ddos,Distributed denial of service UDP flood exhausting capacity on KIOSK-FRONT-2 [evt=568288 ts=2026-03-13T23:14Z]
train,ddos,"HTTP flood DDoS against the public web portal, denying availability"
train,ddos,Edge firewall SYN flood DDoS from botnet sources toward 10.87.54.218 [source=Auth evt=970071]
train,ddos,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity [sensor=dns ts=2026-06-24T21:29Z]
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall [confidence=medium source=Endpoint]
train,ddos,HTTP flood denial of service against public web portal at 172.20.10.5 [confidence=medium ts=2026-05-25T05:48Z]
train,ddos,UDP flood distributed denial of service from botnet sources [ts=2026-05-15T17:16Z user=admin]
train,ddos,Traffic flood exhausting capacity and denying availability
train,ddos,SYN/UDP/HTTP floods DDoS against VM-PROJECT-03
train,ddos,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward LAPTOP-FACULTY-2 [source=SIEM user=student]
train,ddos,HTTP flood denial of service against the public web portal at 192.168.0.55 [confidence=critical user=librarian]
train,ddos,UDP flood distributed denial of service from botnet sources hitting LAB-PC-59
train,ddos,Traffic flood exhausting capacity and denying availability on the edge firewall
train,ddos,SYN/UDP/HTTP DDoS floods against NURSE-STATION-2 from botnet sources [source=Laptop Mail Guard confidence=medium]
train,ddos,Distributed denial of service UDP flood exhausting capacity on LAB-PC-16 [proto=TCP ts=2026-05-25T11:29Z]
train,ddos,"HTTP flood DDoS against the public web portal, denying availability [proto=HTTPS evt=438756]"
train,ddos,Edge firewall SYN flood DDoS from botnet sources toward 192.168.43.12 [ts=2026-08-14T11:49Z sensor=usb]
train,ddos,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity [ts=2026-05-11T15:45Z source=Proxy]
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall
train,ddos,HTTP flood denial of service against public web portal at 203.0.113.77 [evt=835381 device=LAB-PC-14]
train,ddos,UDP flood distributed denial of service from botnet sources [device=LAPTOP-HR04 source=SIEM]
train,ddos,Traffic flood exhausting capacity and denying availability [user=student source=Firewall]
train,ddos,SYN/UDP/HTTP floods DDoS against LAB-PC-80 [proto=UDP confidence=critical]
train,ddos,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward LAB-PC-43
train,ddos,HTTP flood denial of service against the public web portal at 172.20.10.5 [confidence=medium user=akash]
train,ddos,UDP flood distributed denial of service from botnet sources hitting LAB-PC-07 [sensor=proxy device=LAB-PC-60]
train,ddos,Traffic flood exhausting capacity and denying availability on the edge firewall
train,ddos,SYN/UDP/HTTP DDoS floods against DESKTOP-988C9GL from botnet sources [proto=SMB device=SRV-AD-01]
train,ddos,Distributed denial of service UDP flood exhausting capacity on DESKTOP-988C9GL [ts=2026-02-15T06:32Z proto=FILE]
train,ddos,"HTTP flood DDoS against the public web portal, denying availability [evt=511929 ts=2026-04-14T10:57Z]"
train,ddos,Edge firewall SYN flood DDoS from botnet sources toward 203.0.113.77
train,ddos,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity [source=Laptop File Guard sensor=usb]
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall [ts=2026-08-17T13:25Z evt=913920]
train,ddos,HTTP flood denial of service against public web portal at 10.10.10.44 [user=warden sensor=agent]
train,ddos,UDP flood distributed denial of service from botnet sources [ts=2026-02-12T03:45Z confidence=high]
train,ddos,Traffic flood exhausting capacity and denying availability [sensor=mail user=labtech]
train,ddos,SYN/UDP/HTTP floods DDoS against LAPTOP-HOD-CSE [ts=2026-01-14T01:42Z proto=UDP]
train,ddos,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward SRV-AD-01 [device=VM-PROJECT-03 source=Auth]
train,ddos,HTTP flood denial of service against the public web portal at 192.168.1.24
train,ddos,UDP flood distributed denial of service from botnet sources hitting LAB-PC-13
train,ddos,Traffic flood exhausting capacity and denying availability on the edge firewall [user=finance evt=878656]
train,ddos,SYN/UDP/HTTP DDoS floods against PC-RECEPTION-01 from botnet sources [sensor=edr ts=2026-06-11T08:26Z]
train,ddos,Distributed denial of service UDP flood exhausting capacity on DESKTOP-SBJAOKO [user=cashier ts=2026-03-13T16:43Z]
train,ddos,"HTTP flood DDoS against the public web portal, denying availability"
train,ddos,Edge firewall SYN flood DDoS from botnet sources toward 10.87.54.91 [device=DESKTOP-SBJAOKO confidence=medium]
train,ddos,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity [source=Laptop File Guard device=LAB-PC-49]
train,ddos,DDoS SYN flood exhausting bandwidth capacity on edge firewall [source=Endpoint confidence=critical]
train,ddos,HTTP flood denial of service against public web portal at 10.87.54.200 [device=VM-PROJECT-03 confidence=high]
test,ddos,Edge firewall: DDoS SYN flood exhausted bandwidth capacity [sensor=firewall proto=FILE]
test,ddos,Portal at 10.87.54.74 hit by HTTP flood denial of service [sensor=dns source=Proxy]
test,ddos,Edge firewall: DDoS SYN flood exhausted bandwidth capacity
test,ddos,Portal at 10.87.54.239 hit by HTTP flood denial of service
test,ddos,Edge firewall: DDoS SYN flood exhausted bandwidth capacity
test,ddos,Portal at 10.87.54.31 hit by HTTP flood denial of service
test,ddos,Edge firewall: DDoS SYN flood exhausted bandwidth capacity
test,ddos,Portal at 10.87.54.218 hit by HTTP flood denial of service [ts=2026-07-24T21:47Z source=Auth]
test,ddos,Edge firewall: DDoS SYN flood exhausted bandwidth capacity [ts=2026-02-12T19:08Z proto=SMB]
test,ddos,Portal at 10.87.54.31 hit by HTTP flood denial of service [confidence=medium evt=310416]
train,brute-force,Repeated login attempts and password spray against VPN gateway 172.20.10.5 [user=srinu sensor=dns]
train,brute-force,SSH auth failures indicate brute force password guessing on port 22 [sensor=sysmon user=nurse]
train,brute-force,RDP login failures credential stuffing against WS-EXAM-CELL
train,brute-force,Brute force password spray of account cashier from 10.87.54.38 [device=WS-FINANCE-12 confidence=critical]
train,brute-force,Failed authentication burst then successful brute-force login
train,brute-force,VPN gateway 10.87.54.24 password spray: repeated login attempts for faculty [evt=741780 sensor=dns]
train,brute-force,RDP credential stuffing and login failures against WS-FINANCE-12 from 10.10.10.44
train,brute-force,SSH brute force password guessing on port 5985 then a successful login [confidence=high device=WS-FINANCE-12]
train,brute-force,Failed authentication burst: brute force against account labtech on MAIL-GW-1 [proto=UDP source=Network IDS]
train,brute-force,Password spray brute force of the VPN gateway from 192.168.43.12 [user=hr evt=905942]
train,brute-force,SSH auth failures brute force password guessing then a successful login on VM-PROJECT-03 [evt=245357 sensor=sysmon]
train,brute-force,RDP login failures: credential stuffing and password spray against librarian [evt=142859 proto=FILE]
train,brute-force,Failed authentication burst brute-force of VPN gateway 10.87.54.124 on port 445 [device=PC-LAB-NET-14 user=akash]
train,brute-force,Repeated login attempts indicate brute force against MAIL-GW-1 from 192.168.1.24 [ts=2026-03-25T11:26Z device=VM-PROJECT-03]
train,brute-force,Repeated login attempts and password spray against VPN gateway 192.168.0.55 [proto=SMTP confidence=medium]
train,brute-force,SSH auth failures indicate brute force password guessing on port 5555 [ts=2026-07-25T04:29Z user=labtech]
train,brute-force,RDP login failures credential stuffing against KIOSK-FRONT-2 [device=WS-EXAM-CELL evt=737692]
train,brute-force,Brute force password spray of account admin from 10.87.54.9
train,brute-force,Failed authentication burst then successful brute-force login [device=KIOSK-FRONT-2 source=Email]
train,brute-force,VPN gateway 10.87.54.218 password spray: repeated login attempts for faculty [sensor=agent user=srinu]
train,brute-force,RDP credential stuffing and login failures against VM-STUDENT-09 from 172.16.4.18 [proto=SMTP sensor=sysmon]
train,brute-force,SSH brute force password guessing on port 4444 then a successful login [proto=TCP confidence=high]
train,brute-force,Failed authentication burst: brute force against account cashier on WS-FINANCE-12 [ts=2026-04-14T22:09Z evt=821469]
train,brute-force,Password spray brute force of the VPN gateway from 10.87.54.125
train,brute-force,SSH auth failures brute force password guessing then a successful login on KIOSK-FRONT-2 [ts=2026-01-13T06:58Z source=Laptop Mail Guard]
train,brute-force,RDP login failures: credential stuffing and password spray against principal [source=Laptop Mail Guard user=finance]
train,brute-force,Failed authentication burst brute-force of VPN gateway 10.87.54.19 on port 993 [source=USB proto=FILE]
train,brute-force,Repeated login attempts indicate brute force against LAPTOP-HOD-CSE from 10.87.54.184
train,brute-force,Repeated login attempts and password spray against VPN gateway 10.87.54.161 [device=VM-PROJECT-03 confidence=critical]
train,brute-force,SSH auth failures indicate brute force password guessing on port 8080 [source=Laptop File Guard device=LAPTOP-HOD-CSE]
train,brute-force,RDP login failures credential stuffing against LAB-PC-07 [proto=UDP device=WS-ACCOUNTS-04]
train,brute-force,Brute force password spray of account srinu from 10.87.54.122 [sensor=usb confidence=high]
train,brute-force,Failed authentication burst then successful brute-force login
train,brute-force,VPN gateway 172.16.4.18 password spray: repeated login attempts for admin
train,brute-force,RDP credential stuffing and login failures against WS-ACCOUNTS-04 from 10.87.54.31
train,brute-force,SSH brute force password guessing on port 8080 then a successful login
train,brute-force,Failed authentication burst: brute force against account finance on NURSE-STATION-2
train,brute-force,Password spray brute force of the VPN gateway from 10.87.54.191
train,brute-force,SSH auth failures brute force password guessing then a successful login on HOSTEL-PC-18 [sensor=agent device=PC-RECEPTION-01]
train,brute-force,RDP login failures: credential stuffing and password spray against helpdesk [proto=HTTPS evt=966929]
train,brute-force,Failed authentication burst brute-force of VPN gateway 10.87.54.244 on port 3389 [ts=2026-07-18T04:05Z evt=485792]
train,brute-force,Repeated login attempts indicate brute force against PC-LIBRARY-03 from 10.87.54.31 [ts=2026-03-10T09:16Z device=HOSTEL-PC-18]
train,brute-force,Repeated login attempts and password spray against VPN gateway 10.87.54.9 [device=SRV-AD-01 source=Auth]
train,brute-force,SSH auth failures indicate brute force password guessing on port 445
train,brute-force,RDP login failures credential stuffing against LAB-PC-94 [confidence=critical device=LAB-PC-73]
train,brute-force,Brute force password spray of account admin from 10.87.54.31 [user=principal proto=UDP]
train,brute-force,Failed authentication burst then successful brute-force login [sensor=ids device=WS-ACCOUNTS-04]
train,brute-force,VPN gateway 10.87.54.9 password spray: repeated login attempts for faculty
train,brute-force,RDP credential stuffing and login failures against HOSTEL-PC-18 from 192.168.1.24 [ts=2026-07-12T15:19Z source=Windows Event Log]
train,brute-force,SSH brute force password guessing on port 4444 then a successful login [source=Laptop File Guard user=demo]
train,brute-force,Failed authentication burst: brute force against account librarian on MAIL-GW-1 [user=student sensor=sysmon]
train,brute-force,Password spray brute force of the VPN gateway from 192.168.43.12 [user=demo sensor=sysmon]
train,brute-force,SSH auth failures brute force password guessing then a successful login on VM-SOC-LAB-11
train,brute-force,RDP login failures: credential stuffing and password spray against labtech [user=hr sensor=siem]
train,brute-force,Failed authentication burst brute-force of VPN gateway 10.87.54.53 on port 993 [ts=2026-03-26T01:51Z confidence=high]
train,brute-force,Repeated login attempts indicate brute force against PC-RECEPTION-01 from 10.87.54.31 [source=EDR proto=TCP]
train,brute-force,Repeated login attempts and password spray against VPN gateway 172.20.10.5
train,brute-force,SSH auth failures indicate brute force password guessing on port 22
train,brute-force,RDP login failures credential stuffing against PC-LAB-NET-14 [evt=913066 sensor=sysmon]
train,brute-force,Brute force password spray of account faculty from 10.87.54.143 [confidence=high sensor=agent]
train,brute-force,Failed authentication burst then successful brute-force login
train,brute-force,VPN gateway 10.87.54.175 password spray: repeated login attempts for warden [ts=2026-03-14T16:08Z proto=FILE]
