threat_type,template_index,role,template
backdoor,5,train,Covert long-term access backdoor remaining after cleanup
backdoor,6,train,Cobalt Strike beacon backdoor on {host} calling C2 every {n} seconds
backdoor,7,train,China Chopper webshell backdoor planted in the IIS web root
backdoor,8,train,Persistent covert long-term access backdoor remaining after cleanup on {ip}
backdoor,9,train,Backdoor family Cobalt Strike hashed sha256:{sha} plus a webshell
backdoor,10,train,IIS server {host} accepted China Chopper backdoor commands without login
backdoor,11,train,Persistent Cobalt Strike beacon backdoor calling C2 from {ip} every {n} seconds
backdoor,12,train,China Chopper webshell backdoor planted on the IIS web root of {host}
backdoor,13,train,"Covert long-term access backdoor remaining after cleanup, sha256:{sha}"
backdoor,14,train,Cobalt Strike backdoor plus webshell on {host} accepted commands without login
backdoor,15,holdout,Cobalt Strike beacon backdoor hashed sha256:{sha} on {host}
backdoor,16,holdout,China Chopper webshell backdoor accepted commands without login
fileless,1,train,Fileless PowerShell Empire living-off-the-land in-memory payload
fileless,2,train,WMI persistence fileless technique with in-memory shellcode on {host}
fileless,3,train,PowerShell -EncodedCommand fileless living-off-the-land on {ip}
fileless,4,train,Fileless malware runs in memory via WMI and PowerShell Empire
fileless,5,train,LotL fileless in-memory payload with no dropped EXE
fileless,6,train,PowerShell Empire fileless living-off-the-land in-memory payload on {host}
fileless,7,train,"WMI persistence plus encoded PowerShell fileless implant, no dropped EXE"
fileless,8,train,Fileless malware: PowerShell -EncodedCommand in-memory shellcode on {ip}
fileless,9,train,LotL fileless technique using WMI and PowerShell Empire in memory
fileless,10,train,In-memory fileless payload with living-off-the-land PowerShell on {host}
fileless,11,train,"Fileless WMI persistence with in-memory shellcode, no dropped EXE on {host}"
fileless,12,train,PowerShell -EncodedCommand living-off-the-land fileless implant on {ip}
fileless,13,train,LotL fileless malware: PowerShell Empire in memory via WMI
fileless,14,train,Fileless in-memory payload Empire with encoded PowerShell on {host}
fileless,15,holdout,PowerShell Empire fileless in-memory payload with WMI persistence
fileless,16,holdout,Encoded PowerShell living-off-the-land fileless implant on {host}
cryptominer,1,train,Cryptominer XMRig unauthorized mining sha256:{sha}
cryptominer,2,train,Lemon Duck coinminer Monero mining on compromised host {host}
cryptominer,3,train,Unauthorized mining pool stratum+tcp from {ip} XMRig process
cryptominer,4,train,Cryptominer hijacking CPU/GPU for Monero mining on {host}
cryptominer,5,train,NiceHash / XMRig miner binary filename in {file}
cryptominer,6,train,XMRig cryptominer unauthorized mining to a Monero pool from {ip}
cryptominer,7,train,Lemon Duck coinminer caused high CPU on {host} during Monero mining
cryptominer,8,train,stratum+tcp unauthorized mining pool from XMRig process sha256:{sha}
cryptominer,9,train,Cryptominer NiceHash / XMRig binary {file} hijacking CPU/GPU
cryptominer,10,train,Coinminer Lemon Duck unauthorized mining on compromised host {host}
cryptominer,11,train,XMRig cryptominer hijacking CPU/GPU for Monero mining sha256:{sha}
cryptominer,12,train,Unauthorized mining pool stratum+tcp NiceHash from {ip} on {host}
cryptominer,13,train,Lemon Duck coinminer binary {file} caused high CPU during mining
cryptominer,14,train,"Cryptominer XMRig connected to a Monero pool, unauthorized mining"
cryptominer,15,holdout,XMRig cryptominer connected to a Monero pool from {ip}
cryptominer,16,holdout,Lemon Duck coinminer caused high CPU on {host} during unauthorized mining
malware,1,train,Executable download of suspicious malware with registry persistence on {host}
malware,2,train,PowerShell -enc base64 payload launched reverse shell to C2 beacon
malware,3,train,Generic malware double extension dropper {file} with DLL injection
malware,4,train,Suspicious process malware and C2 beacon from {ip}
malware,5,train,Lure filename on dangerous attachment {file} classified as malware
malware,6,train,Malware dropper {file} used DLL injection and registry persistence on {host}
malware,7,train,Reverse shell malware: PowerShell -enc base64 payload to a C2 beacon
malware,8,train,Suspicious malware executable download then C2 beacon from {ip}
malware,9,train,Double extension dropper {file} classified as generic malware
malware,10,train,Dangerous attachment {file} launched malware with registry persistence
malware,11,train,Generic malware double extension {file} plus DLL injection on {host}
malware,12,train,Suspicious process malware launched a reverse shell C2 beacon from {ip}
malware,13,train,PowerShell -enc base64 malware payload with registry persistence
malware,14,train,Lure attachment {file} classified as malware after executable download
malware,15,holdout,Malware dropper {file} used DLL injection and registry persistence
malware,16,holdout,Reverse shell malware with PowerShell -enc base64 payload to C2 beacon
ddos,1,train,DDoS SYN flood exhausting bandwidth capacity on edge firewall
ddos,2,train,HTTP flood denial of service against public web portal at {ip}
ddos,3,train,UDP flood distributed denial of service from botnet sources
ddos,4,train,Traffic flood exhausting capacity and denying availability
ddos,5,train,SYN/UDP/HTTP floods DDoS against {host}
ddos,6,train,Edge firewall DDoS: SYN flood exhausting bandwidth capacity toward {host}
ddos,7,train,HTTP flood denial of service against the public web portal at {ip}
ddos,8,train,UDP flood distributed denial of service from botnet sources hitting {host}
ddos,9,train,Traffic flood exhausting capacity and denying availability on the edge firewall
ddos,10,train,SYN/UDP/HTTP DDoS floods against {host} from botnet sources
ddos,11,train,Distributed denial of service UDP flood exhausting capacity on {host}
ddos,12,train,"HTTP flood DDoS against the public web portal, denying availability"
ddos,13,train,Edge firewall SYN flood DDoS from botnet sources toward {ip}
ddos,14,train,Traffic flood DDoS: SYN/UDP/HTTP exhausting bandwidth capacity
ddos,15,holdout,Edge firewall: DDoS SYN flood exhausted bandwidth capacity
ddos,16,holdout,Portal at {ip} hit by HTTP flood denial of service
brute-force,1,train,Repeated login attempts and password spray against VPN gateway {ip}
brute-force,2,train,SSH auth failures indicate brute force password guessing on port {port}
brute-force,3,train,RDP login failures credential stuffing against {host}
brute-force,4,train,Brute force password spray of account {user} from {ip}
brute-force,5,train,Failed authentication burst then successful brute-force login
brute-force,6,train,VPN gateway {ip} password spray: repeated login attempts for {user}
brute-force,7,train,RDP credential stuffing and login failures against {host} from {ip}
brute-force,8,train,SSH brute force password guessing on port {port} then a successful login
brute-force,9,train,Failed authentication burst: brute force against account {user} on {host}
brute-force,10,train,Password spray brute force of the VPN gateway from {ip}
brute-force,11,train,SSH auth failures brute force password guessing then a successful login on {host}
brute-force,12,train,RDP login failures: credential stuffing and password spray against {user}
brute-force,13,train,Failed authentication burst brute-force of VPN gateway {ip} on port {port}
brute-force,14,train,Repeated login attempts indicate brute force against {host} from {ip}
brute-force,15,holdout,VPN gateway {ip} under password spray brute force against {user}
brute-force,16,holdout,RDP brute force: repeated login attempts and credential stuffing on {host}
social,1,train,Social engineering call impersonating help desk scam for MFA codes
social,2,train,CEO fraud email asking staff to wire transfer urgently for {user}
social,3,train,Help-desk scam impersonation requesting gift card purchase
social,4,train,Social engineering pretends to be IT and manipulates employee for MFA
social,5,train,Urgent wire transfer social engineering impersonating the director
social,6,train,Help desk scam social engineering asked {user} for an MFA code on a call
social,7,train,"CEO fraud: wire transfer urgently and do not tell finance, impersonating IT"
social,8,train,Social engineering gift-card purchase after a help-desk impersonation
social,9,train,Director impersonation social engineering for an urgent wire transfer
social,10,train,Pretends to be IT: social engineering call harvesting MFA from {user}
social,11,train,Help-desk impersonation social engineering requesting a gift card purchase
social,12,train,"CEO fraud social engineering: urgent wire transfer, do not tell finance"
social,13,train,Social engineering call pretends to be IT and asks {user} for MFA codes
social,14,train,Director impersonation: wire transfer urgently after a help desk scam
social,15,holdout,Help desk scam social engineering asked {user} for an MFA code
social,16,holdout,"CEO fraud social engineering: wire transfer urgently, do not tell finance"
benign,1,train,Normal outbound HTTPS traffic to corporate CDN from {host}
benign,2,train,Scheduled backup completed successfully on file server {ip}
benign,3,train,DNS lookup for known software update domain by {user}
benign,4,train,Employee joined a video conference meeting on {host}
benign,5,train,Weekly project notes are in the shared drive. No password reset is required
benign,6,train,Windows Update installed successfully. Reboot is not required now
benign,7,train,Printer queue cleared. User {user} printed 3 pages
benign,8,train,NTP time sync succeeded. Host {host} clock is correct
benign,9,train,SCCM patch Tuesday reboot completed successfully on {host}
benign,10,train,Defender definition update succeeded. No threats on {ip}
benign,11,train,{user} saved meeting notes {file} to Documents on {host}
benign,12,train,Normal outbound HTTPS to the corporate CDN. Weekly notes on the shared drive
benign,13,train,Scheduled backup and NTP time sync succeeded on file server {ip}
benign,14,train,Employee joined a video conference. Windows Update installed successfully
benign,15,train,Printer queue cleared. {user} printed pages. No password reset is required
benign,16,train,DNS lookup for a known software update domain from {host} by {user}
benign,17,holdout,Intranet wiki saved. {user} edited the meeting agenda on {host}
benign,18,holdout,Software inventory scan finished with no threats on {ip}
